Cidade,sample_day,SO2,NO2,O3,CO,PM10,PM2.5,AQI_SO2,AQI_NO2,AQI_O3,AQI_CO,AQI_PM25,AQI_PM10,AQI,AQI_Qualidade
Almirante Tamandaré,2023-12-04,55.3575,26.9225,19.478749999999998,0.1234564393939394,12.571111111111112,2.1703724747474746,75,25,18,1,12,12,75,Moderada
Almirante Tamandaré,2023-12-05,56.345,31.201666666666668,17.832916666666666,0.06395833333333334,10.386875,2.1815277777777777,77,29,17,1,12,10,77,Moderada
Almirante Tamandaré,2023-12-06,68.6125,38.829166666666666,21.0365625,0.21145833333333333,19.193901515151516,4.240451388888889,92,37,19,2,24,18,92,Moderada
Almirante Tamandaré,2023-12-07,39.58166666666666,28.816666666666666,20.953229166666667,0.2084375,14.689895833333333,2.587152777777778,56,27,19,2,14,14,56,Moderada
Almirante Tamandaré,2023-12-08,54.4475,16.846666666666668,18.943232323232323,0.2525568181818182,14.49854797979798,2.667790404040404,74,16,18,3,15,13,74,Moderada
Almirante Tamandaré,2023-12-09,10.773333333333333,14.880833333333333,14.2478125,0.0037500000000000003,8.026979166666667,1.6365277777777778,15,14,13,0,9,7,15,Boa
Almirante Tamandaré,2023-12-10,48.358333333333334,29.714166666666667,11.011354166666667,0.13125,7.198055555555555,1.7885763888888888,67,28,10,1,10,7,67,Moderada
Almirante Tamandaré,2023-12-11,46.63166666666667,29.516666666666666,17.879375,0.1277361111111111,7.612319444444444,1.5978564814814815,64,28,17,1,9,7,64,Moderada
Almirante Tamandaré,2023-12-12,58.178333333333335,31.868333333333332,21.706041666666668,0.0375,10.305221688034187,2.025520833333333,79,30,20,0,11,10,79,Moderada
Almirante Tamandaré,2023-12-13,164.92636363636365,61.04727272727273,16.115833333333335,0.09148674242424243,22.905852272727273,3.812891414141414,141,59,15,1,21,21,141,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-14,129.66,45.0225,18.726625,0.364875,31.96453125,5.944079861111112,125,42,17,4,33,30,125,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-15,107.02363636363637,46.00181818181818,20.784895378223503,0.6263399030586531,51.46797794535685,9.345053432092495,115,43,19,7,51,48,115,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-16,115.08916666666666,41.763333333333335,22.9471875,0.6512121212121212,26.086979166666666,5.905,119,39,21,7,33,24,119,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-17,72.63166666666666,36.248333333333335,26.444270833333334,0.32614583333333336,30.95284722222222,7.2159375,97,34,24,4,40,29,97,Moderada
Almirante Tamandaré,2023-12-18,86.7675,33.45166666666667,23.363541666666666,0.2984375,18.827607323232325,4.20802398989899,106,32,22,3,23,17,106,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-19,75.00833333333334,31.779166666666665,15.825416666666667,0.043437500000000004,13.274513888888889,2.643125,100,30,15,0,15,12,100,Moderada
Almirante Tamandaré,2023-12-20,65.78916666666667,31.140833333333333,16.809583333333332,0.04166666666666667,11.667326388888888,2.0209027777777777,88,29,16,0,11,11,88,Moderada
Almirante Tamandaré,2023-12-21,83.80583333333334,36.88166666666667,21.096041666666668,0.08979166666666667,10.030972222222221,1.7551736111111111,105,35,20,1,10,9,105,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-22,128.65,43.663333333333334,19.036414875625788,0.17578362475565865,17.97850971096935,3.133133367111545,125,41,18,2,17,17,125,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-23,60.435,34.501666666666665,18.29945075757576,0.3330208333333333,12.569668560606061,2.9864520202020204,82,33,17,4,17,12,82,Moderada
Almirante Tamandaré,2023-12-24,66.44416666666666,31.06833333333333,24.6784375,0.33208333333333334,16.68125,4.838993055555556,89,29,23,4,27,15,89,Moderada
Almirante Tamandaré,2023-12-25,33.82833333333333,19.52166666666667,21.367395833333333,0.23520833333333332,11.005138888888888,2.8780208333333333,48,18,20,3,16,10,48,Boa
Almirante Tamandaré,2023-12-26,98.35916666666667,39.2625,25.059930555555557,0.0739236111111111,10.307766203703704,2.072766203703704,111,37,23,1,12,10,111,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-27,55.373333333333335,28.3975,21.52482638888889,0.04798611111111111,10.635069444444444,2.7478125,75,27,20,1,15,10,75,Moderada
Almirante Tamandaré,2023-12-28,135.93916666666667,55.185833333333335,14.722395833333334,0.25416666666666665,18.284444444444446,4.077881944444444,128,52,14,3,23,17,128,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-29,81.66916666666667,30.3,20.851770833333333,0.27666666666666667,23.403263888888887,4.353541666666667,104,29,19,3,24,22,104,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-30,51.02166666666667,25.698333333333334,17.298229166666665,0.22875,13.126076388888889,3.079652777777778,70,24,16,3,17,12,70,Moderada
Almirante Tamandaré,2023-12-31,25.47,19.680833333333332,15.0915625,0.023645833333333335,3.925590277777778,1.1785069444444445,36,19,14,0,7,4,36,Boa
Almirante Tamandaré,2024-01-01,75.8125,35.3125,15.14375,0.015729166666666666,7.487152777777778,2.228910984848485,101,33,14,0,12,7,101,Ruim para grupos sensíveis
Almirante Tamandaré,2024-01-02,49.195,26.383333333333333,15.814270833333333,0.035520833333333335,10.120694444444444,2.7418055555555556,68,25,15,0,15,9,68,Moderada
Almirante Tamandaré,2024-01-03,51.144999999999996,26.201666666666668,23.662916666666668,0.036458333333333336,8.662256944444444,1.9636805555555557,70,25,22,0,11,8,70,Moderada
Almirante Tamandaré,2024-01-04,51.88166666666667,29.055,17.166145833333335,0.021666666666666667,6.553576388888889,1.1573958333333334,71,27,16,0,6,6,71,Moderada
Almirante Tamandaré,2024-01-05,62.954166666666666,31.427500000000002,20.748125,0.04791666666666667,9.165104166666667,1.6639583333333332,85,30,19,1,9,8,85,Moderada
Almirante Tamandaré,2024-01-06,64.0675,30.4375,13.00125,0.044270833333333336,5.384409722222222,0.9306597222222223,86,29,12,1,5,5,86,Moderada
Almirante Tamandaré,2024-01-07,120.31333333333333,47.51916666666666,17.742916666666666,0.21510416666666668,9.776041666666666,1.8762152777777779,121,45,16,2,10,9,121,Ruim para grupos sensíveis
Almirante Tamandaré,2024-01-08,119.80166666666666,45.913333333333334,21.875208333333333,0.2703125,22.028819444444444,4.225243055555556,121,43,20,3,23,20,121,Ruim para grupos sensíveis
Almirante Tamandaré,2024-01-09,150.52777777777777,62.28777777777778,22.584895833333334,0.2861458333333333,11.522418981481481,2.4294444444444445,135,60,21,3,13,11,135,Ruim para grupos sensíveis
Almirante Tamandaré,2024-01-10,120.37333333333333,54.5725,24.705104166666665,0.19302083333333334,16.619248737373738,3.633046085858586,121,52,23,2,20,15,121,Ruim para grupos sensíveis
Almirante Tamandaré,2024-01-11,126.6075,51.04833333333333,18.051145833333333,0.19664044289044288,12.805432692307692,3.1094459013209015,124,48,17,2,17,12,124,Ruim para grupos sensíveis
Almirante Tamandaré,2024-01-12,28.920833333333334,22.71,19.36390224358974,0.14701923076923076,6.735729166666666,1.544513888888889,41,21,18,2,9,6,41,Boa
Almirante Tamandaré,2024-01-13,11.278333333333334,16.868333333333332,12.619895833333333,0.019895833333333335,6.443784722222222,1.8734027777777778,16,16,12,0,10,6,16,Boa
Almirante Tamandaré,2024-01-14,140.32,63.468333333333334,12.482395833333333,0.3067708333333333,12.492604166666666,2.742777777777778,130,61,12,3,15,12,130,Ruim para grupos sensíveis
Almirante Tamandaré,2024-01-15,72.635,39.38916666666667,14.771827651515151,0.3388541666666667,28.488308080808082,6.332714646464646,97,37,14,4,35,26,97,Moderada
Almirante Tamandaré,2024-01-16,70.43545454545455,35.89727272727273,15.303958333333334,0.3344034090909091,33.38096275252525,7.340268308080808,94,34,14,4,41,31,94,Moderada
Almirante Tamandaré,2024-01-17,59.0275,36.685833333333335,13.7763243006993,0.31427083333333333,23.58395444832945,5.686296134421134,80,35,13,4,32,22,80,Moderada
Almirante Tamandaré,2024-01-18,79.42416666666666,41.105000000000004,16.024270833333333,0.25364583333333335,12.086527777777777,2.903159722222222,103,39,15,3,16,11,103,Ruim para grupos sensíveis
Almirante Tamandaré,2024-01-19,80.01,43.215833333333336,15.421666666666667,0.23864583333333333,10.426840277777778,2.10380787037037,103,41,14,3,12,10,103,Ruim para grupos sensíveis
Almirante Tamandaré,2024-01-20,38.0175,26.335,17.232499999999998,0.15770833333333334,8.986597222222223,2.036111111111111,54,25,16,2,11,8,54,Moderada
Almirante Tamandaré,2024-01-21,42.44,25.925833333333333,15.269895833333333,0.10333333333333333,4.1859375,0.9105208333333333,59,24,14,1,5,4,59,Moderada
Almirante Tamandaré,2024-01-22,23.036666666666665,20.953333333333333,12.525416666666667,0.03208333333333333,5.413854166666667,1.3422916666666667,33,20,12,0,7,5,33,Boa
